"National
Dex","Pokemon
Name",Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
218,Slugma,,,,211,216,103,108,,,,,,,12,,,,,,,,,,,,,,,,40,40,40,70,40,20,250,Fire,,Magma Armor,Flame Body,Weak Armor,2′04″,0.7,77.2,35,,,,1,,,50,190,Med Fast,50,Red,Neutral,20,Amorphous,,Lv. 38
219,Magcargo,,,,212,217,104,109,,,,,,,13,,,,,,,,,,,,,,,,60,50,120,90,80,30,430,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2′07″,0.8,121.3,55,,,2,,,,151,75,Med Fast,50,Red,Neutral,20,Amorphous,,
220,Swinub,,,,191,195,,,,203,,258,,,76,,,,,,,,,,,75,,7,212,,50,50,40,30,30,50,250,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,1′04″,0.4,14.3,6.5,,1,,,,,50,225,Slow,50,Brown,Neutral,20,Field,,Lv. 33
221,Piloswine,,,,192,196,,,,204,,259,,,77,,,,,,,,,,,76,,8,213,,100,100,80,60,60,50,450,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,3′07″,1.1,123,55.8,1,1,,,,,158,75,Slow,50,Brown,Neutral,20,Field,,Level Up (Knowing Ancient Power)
222,Corsola,,,,171,173,180,189,,,,237,,146,,112,112,44,,,135,135,44,,,236,,,,,65,55,95,65,95,35,410,Water,Rock,Hustle,Natural Cure,Regenerator,2′00″,0.6,11,5,,,1,,1,,144,60,Fast,50,Pink,F (75%),20,Water 1,Water 3,
222.1,Corsola (Galarian),Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,60,55,100,65,100,30,410,Ghost,,Weak Armor,,Cursed Body,2′00″,0.6,1.1,0.5,,,,,1,,144,60,Fast,50,White,F (75%),20,Water 1,Water 3,Lv. 38
223,Remoraid,,,,172,174,,,132,132,,235,,144,,,,,,,143,143,47,,,148,44,,146,,35,65,35,65,35,65,300,Water,,Hustle,Sniper,Moody,2′00″,0.6,26.5,12,,,,1,,,60,190,Med Fast,50,Gray,Neutral,20,Water 1,Water 2,Lv. 25
224,Octillery,,,,173,175,,,133,133,,236,,145,,,,,,,144,144,48,,,149,45,,147,,75,105,75,105,75,45,480,Water,,Suction Cups,Sniper,Moody,2′11″,0.9,62.8,28.5,,1,,1,,,168,75,Med Fast,50,Red,Neutral,20,Water 1,Water 2,
225,Delibird,,,,190,194,,,,,,254,,,90,81,81,,,,95,95,,,,78,,120,,354,45,55,45,65,45,75,330,Ice,Flying,Vital Spirit,Hustle,Insomnia,2′11″,0.9,35.3,16,,,,,,1,116,45,Fast,50,Red,Neutral,20,Water 1,Field,
226,Mantine,,,,197,202,,,141,141,,234,,140,,,,,,,146,146,50,,,355,47,,165,,85,40,70,80,140,70,485,Water,Flying,Swift Swim,Water Absorb,Water Veil,6′11″,2.1,485,220,,,,,2,,170,25,Slow,50,Purple,Neutral,25,Water 1,,
227,Skarmory,,,,198,203,115,120,,,,203,,,112,208,,,80,72,270,,,91,85,,153,,,,65,80,140,40,70,70,465,Steel,Flying,Keen Eye,Sturdy,Weak Armor,5′07″,1.7,111.3,50.5,,,2,,,,163,25,Slow,50,Gray,Neutral,25,Flying,,
228,Houndour,,,,209,214,,,,176,,,,75,,,,,,,289,,,110,,,,,,25,45,60,30,80,50,65,330,Dark,Fire,Early Bird,Flash Fire,Unnerve,2′00″,0.6,23.8,10.8,,,,1,,,66,120,Slow,35,Black,Neutral,20,Field,,Lv. 24
229,Houndoom,,,,210,215,,,,177,,,,76,,,,,,,290,,,111,,,,,,26,75,90,50,110,80,95,500,Dark,Fire,Early Bird,Flash Fire,Unnerve,4′07″,1.4,77.2,35,,,,2,,,175,45,Slow,35,Black,Neutral,20,Field,,
229.1,Houndoom (Mega),Mega Evolution,,,,,,,,,,,,76,,,,,,,290,,,111,,,,,,,75,90,90,140,90,115,600,Dark,Fire,Solar Power,,,6′03″,1.9,109.1,49.5,,,,2,,,210,45,Slow,50,Black,Neutral,20,Field,,
230,Kingdra,,,,188,192,186,195,,,,,,41,,,,,,,,,,,,,200,,,,75,95,95,95,95,85,540,Water,Dragon,Swift Swim,Sniper,Damp,5′11″,1.8,335.1,152,,1,,1,1,,270,45,Med Fast,50,Blue,Neutral,20,Water 1,Dragon,
231,Phanpy,,,,195,200,165,172,,,,,,,,,,,,,,,,,,,,,,122,90,60,60,40,40,40,330,Ground,,Pickup,,Sand Veil,1′08″,0.5,73.9,33.5,1,,,,,,66,120,Med Fast,50,Blue,Neutral,20,Field,,Lv. 25
232,Donphan,,,,196,201,166,173,,,,,,,,,,,,,,,,,,,,,,123,90,120,120,60,60,50,500,Ground,,Sturdy,,Sand Veil,3′07″,1.1,264.6,120,,1,1,,,,175,60,Med Fast,50,Gray,Neutral,20,Field,,
233,Porygon2,,,,216,221,,,,193,,,,,,218,,,90,,282,,,103,,,209,,134,,85,80,90,105,95,60,515,Normal,,Trace,Download,Analytic,2′00″,0.6,71.7,32.5,,,,2,,,180,45,Med Fast,50,Red,None,20,Mineral,,Trade (Holding Dubious Disc)
234,Stantler,,,,129,131,,,,,,,,,,,,,,,,,,,,,,,49,204,73,95,62,85,65,85,465,Normal,,Intimidate,Frisk,Sap Sipper,4′07″,1.4,157,71.2,,1,,,,,163,45,Slow,50,Brown,Neutral,20,Field,,Use Agile Psyshield Bash 20 Times
235,Smeargle,,,,157,159,,,,,,,124,,,58,58,,,,70,70,,,,,,,,,55,20,35,20,45,75,250,Normal,,Own Tempo,Technician,Moody,3′11″,1.2,127.9,58,,,,,,1,88,45,Fast,50,White,Neutral,20,Field,,
236,Tyrogue,Baby,,,143,145,,,,,,,,,,,,,,,,,,,,107,,,,,35,35,35,35,35,35,210,Fighting,,Guts,Steadfast,Vital Spirit,2′04″,0.7,46.3,21,,1,,,,,42,75,Med Fast,50,Purple,M (100%),25,Undiscovered,,Lv. 20 (Atk>Def)/Lv. 20 (Atk<Def)/Lv. 20 (Atk=Def)
237,Hitmontop,,,,146,148,,,,,,,,,,,,,,,,,,,,110,,,,,50,95,95,35,110,70,455,Fighting,,Intimidate,Technician,Steadfast,4′07″,1.4,105.8,48,,,,,2,,159,45,Med Fast,50,Brown,M (100%),25,Human-Like,,
238,Smoochum,Baby,,,152,154,,,,,,,,,83,,,,,,109,109,,,,,,13,,,45,30,15,85,65,65,305,Ice,Psychic,Oblivious,Forewarn,Hydration,1′04″,0.4,13.2,6,,,,1,,,61,45,Med Fast,50,Pink,F (100%),25,Undiscovered,,Lv. 30
239,Elekid,Baby,,,154,156,,,,197,,56,,,,226,,,98,,295,,,116,,,,15,182,,45,63,37,65,55,95,360,Electric,,Static,,Vital Spirit,2′00″,0.6,51.8,23.5,,,,,,1,72,45,Med Fast,50,Yellow,M (75%),25,Undiscovered,,Lv. 30
240,Magby,Baby,,,150,152,,,,200,,53,,,,166,,93,,,200,,101,,,,,18,174,,45,75,37,70,55,83,365,Fire,,Flame Body,,Vital Spirit,2′04″,0.7,47.2,21.4,,,,,,1,73,45,Med Fast,50,Red,M (75%),25,Undiscovered,,Lv. 30
241,Miltank,,,,149,151,,,,,,,,126,,138,,65,,62,171,,72,,74,,117,,,,95,80,105,40,70,100,490,Normal,,Thick Fat,Scrappy,Sap Sipper,3′11″,1.2,166.4,75.5,,,2,,,,172,45,Slow,50,Pink,F (100%),20,Field,,
242,Blissey,,,,218,223,,,98,98,,,,,,34,34,18,17,10,41,41,18,17,17,,8,,88,45,255,10,10,75,135,55,540,Normal,,Natural Cure,Serene Grace,Healer,4′11″,1.5,103.2,46.8,3,,,,,,635,30,Fast,140,Pink,F (100%),40,Fairy,,
243,Raikou,Sub-Legendary,,,238,243,,,,,,,,,,,,,,,,,,,,,,,,,90,85,75,115,100,115,580,Electric,,Pressure,,Inner Focus,6′03″,1.9,392.4,178,,,,1,,2,290,3,Slow,35,Yellow,None,80,Undiscovered,,
244,Entei,Sub-Legendary,,,239,244,,,,,,,,,,,,,,,,,,,,,,,,,115,115,85,90,75,100,580,Fire,,Pressure,,Inner Focus,6′11″,2.1,436.5,198,1,2,,,,,290,3,Slow,35,Brown,None,80,Undiscovered,,
245,Suicune,Sub-Legendary,,,240,245,,,,,,,,,,,,,,,,,,,,,,,,,100,75,115,90,115,85,580,Water,,Pressure,,Inner Focus,6′07″,2,412.3,187,,,1,,2,,290,3,Slow,35,Blue,None,80,Undiscovered,,
246,Larvitar,Pseudo Legendary,,,244,249,,,,,,292,,,102,,,,,,247,,148,,,383,,139,,316,50,64,50,45,50,41,300,Rock,Ground,Guts,,Sand Veil,2′00″,0.6,158.7,72,,1,,,,,60,45,Slow,35,Green,Neutral,40,Monster,,Lv. 30
247,Pupitar,Pseudo Legendary,,,245,250,,,,,,293,,,103,,,,,,248,,149,,,384,,140,,317,70,84,70,65,70,51,410,Rock,Ground,Shed Skin,,,3′11″,1.2,335.1,152,,2,,,,,144,45,Slow,35,Gray,Neutral,40,Monster,,Lv. 55
248,Tyranitar,Pseudo Legendary,,,246,251,,,,,,294,,,104,,,,,,249,,150,,,385,,141,,318,100,134,110,95,100,61,600,Rock,Dark,Sand Stream,,Unnerve,6′07″,2,445.3,202,,3,,,,,300,45,Slow,35,Green,Neutral,40,Monster,,
248.1,Tyranitar (Mega),"Psuedo Legendary, Mega Evolution",,,,,,,,,,,,,104,,,,,,249,,150,,,,,,,,100,164,150,95,120,71,700,Rock,Dark,Sand Stream,,,8′02″,2.5,562.2,255,,3,,,,,350,45,Slow,35,Green,Neutral,40,Monster,,
249,Lugia,Legendary,,,247,252,,,,,,,,,,,,,,,,,,,,,,,,,106,90,130,90,154,110,680,Psychic,Flying,Pressure,,Multiscale,17′01″,5.2,476.2,216,,,,,3,,340,3,Slow,0,White,None,120,Undiscovered,,
250,Ho-oh,Legendary,,,248,253,,,,,,,,,,,,,,,,,,,,,,,,,106,130,90,110,154,90,680,Fire,Flying,Pressure,,Regenerator,12′06″,3.8,438.7,199,,,,,3,,340,3,Slow,0,Red,None,120,Undiscovered,,
251,Celebi,Mythical,,,251,256,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,600,Psychic,Grass,Natural Cure,,,2′00″,0.6,11,5,3,,,,,,300,45,Med Slow,100,Green,None,120,Undiscovered,,
252,Treecko,Starter,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,40,45,35,65,55,70,310,Grass,,Overgrow,,Unburden,1′08″,0.5,11,5,,,,,,1,62,45,Med Slow,50,Green,M (87.5%),20,Monster,Dragon,Lv. 16
253,Grovyle,Starter,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,50,65,45,85,65,95,405,Grass,,Overgrow,,Unburden,2′11″,0.9,47.6,21.6,,,,,,2,142,45,Med Slow,50,Green,M (87.5%),20,Monster,Dragon,Lv. 36
254,Sceptile,Starter,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,70,85,65,105,85,120,530,Grass,,Overgrow,,Unburden,5′07″,1.7,115.1,52.2,,,,,,3,265,45,Med Slow,50,Green,M (87.5%),20,Monster,Dragon,
254.1,Sceptile (Mega),"Starter, Mega Evolution",,,,,,3,,,,,,,,,,,,,,,,,,,,,,,70,110,75,145,85,145,630,Grass,Dragon,Lightningrod,,,6′03″,1.9,121.7,55.2,,,,,,3,315,45,Med Slow,50,Green,M (87.5%),20,Monster,Dragon,
255,Torchic,Starter,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,45,60,40,70,50,45,310,Fire,,Blaze,,Speed Boost,1′04″,0.4,5.5,2.5,,,,1,,,62,45,Med Slow,50,Red,M (87.5%),20,Field,,Lv. 16
256,Combusken,Starter,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,60,85,60,85,60,55,405,Fire,Fighting,Blaze,,Speed Boost,2′11″,0.9,43,19.5,,1,,1,,,142,45,Med Slow,50,Red,M (87.5%),20,Field,,Lv. 36
257,Blaziken,Starter,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,80,120,70,110,70,80,530,Fire,Fighting,Blaze,,Speed Boost,6′03″,1.9,114.6,52,,3,,,,,265,45,Med Slow,50,Red,M (87.5%),20,Field,,
257.1,Blaziken (Mega),"Starter, Mega Evolution",,,,,,6,,,,,,,,,,,,,,,,,,,,,,,80,160,80,130,80,100,630,Fire,Fighting,Speed Boost,,,6′03″,1.9,114.6,52,,3,,,,,315,45,Med Slow,50,Red,M (87.5%),20,Field,,
258,Mudkip,Starter,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,50,70,50,50,50,40,310,Water,,Torrent,,Damp,1′04″,0.4,16.8,7.6,,1,,,,,62,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,Lv. 16
259,Marshtomp,Starter,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,70,85,70,60,70,50,405,Water,Ground,Torrent,,Damp,2′04″,0.7,61.7,28,,2,,,,,142,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,Lv. 36
260,Swampert,Starter,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,100,110,90,85,90,60,535,Water,Ground,Torrent,,Damp,4′11″,1.5,180.6,81.9,,3,,,,,268,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,
260.1,Swampert (Mega),"Starter, Mega Evolution",,,,,,9,,,,,,,,,,,,,,,,,,,,,,,100,150,110,95,110,70,635,Water,Ground,Swift Swim,,,6′03″,1.9,224.9,102,,3,,,,,318,45,Med Slow,50,Blue,M (87.5%),20,Monster,Water 1,
261,Poochyena,,,,,,10,10,,,,,,,44,,,,,,,,,,,,,,,,35,55,35,30,30,35,220,Dark,,Run Away,Quick Feet,Rattled,1′08″,0.5,30,13.6,,1,,,,,56,255,Med Fast,50,Gray,Neutral,15,Field,,Lv. 18
262,Mightyena,,,,,,11,11,,,,,,,45,,,,,,,,,,,,,,,,70,90,70,60,60,70,420,Dark,,Intimidate,Quick Feet,Moxie,3′03″,1,81.6,37,,2,,,,,147,127,Med Fast,50,Gray,Neutral,15,Field,,
263,Zigzagoon,,,,,,12,12,,,,,12,,,,,,,,,,,,,31,,71,,,38,30,41,30,41,60,240,Normal,,Pickup,Gluttony,Quick Feet,1′04″,0.4,38.6,17.5,,,,,,1,56,255,Med Fast,50,Brown,Neutral,15,Field,,Lv. 20
263.1,Zigzagoon (Galarian),Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,31,,71,,,38,30,41,30,41,60,240,Dark,Normal,Pickup,Gluttony,Quick Feet,1′04″,0.4,38.6,17.5,,,,,,1,56,255,Med Fast,50,White,Neutral,15,Field,,Lv. 20
264,Linoone,,,,,,13,13,,,,,13,,,,,,,,,,,,,32,,72,,,78,70,61,50,61,100,420,Normal,,Pickup,Gluttony,Quick Feet,1′08″,0.5,71.7,32.5,,,,,,2,147,90,Med Fast,50,White,Neutral,15,Field,,
264.1,Linoone (Galarian),Galarian Form,,,,,,,,,,,,,,,,,,,,,,,,32,,72,,,78,70,61,50,61,100,420,Dark,Normal,Pickup,Gluttony,Quick Feet,1′08″,0.5,71.7,32.5,,,,,,2,147,90,Med Fast,50,White,Neutral,15,Field,,Lv. 35 (Night)
265,Wurmple,,,,,,14,14,48,48,,,,,,,,,,,,,,,,,,,18,,45,45,35,20,30,20,195,Bug,,Shield Dust,,Run Away,1′00″,0.3,7.9,3.6,1,,,,,,56,255,Med Fast,50,Red,Neutral,15,Bug,,Lv. 7
266,Silcoon,,,,,,15,15,49,49,,,,,,,,,,,,,,,,,,,19,,50,35,55,25,25,15,205,Bug,,Shed Skin,,,2′00″,0.6,22,10,,,2,,,,72,120,Med Fast,50,White,Neutral,15,Bug,,Lv. 10
267,Beautifly,,,,,,16,16,50,50,,,,,,,,,,,,,,,,,,,20,,60,70,50,100,50,65,395,Bug,Flying,Swarm,,Rivalry,3′03″,1,62.6,28.4,,,,3,,,178,45,Med Fast,50,Yellow,Neutral,15,Bug,,
268,Cascoon,,,,,,17,17,51,51,,,,,,,,,,,,,,,,,,,21,,50,35,55,25,25,15,205,Bug,,Shed Skin,,,2′04″,0.7,25.4,11.5,,,2,,,,72,120,Med Fast,50,Purple,Neutral,15,Bug,,Lv. 10
269,Dustox,,,,,,18,18,52,52,,,,,,,,,,,,,,,,,,,22,,60,50,70,50,90,65,385,Bug,Poison,Shield Dust,,Compoundeyes,3′11″,1.2,69.7,31.6,,,,,3,,173,45,Med Fast,50,Green,Neutral,15,Bug,,
270,Lotad,,,,,,19,19,,,,,,,55,,,,,,,,,,,36,,,,,40,30,30,40,50,30,220,Water,Grass,Swift Swim,Rain Dish,Own Tempo,1′08″,0.5,5.7,2.6,,,,,1,,44,255,Med Slow,50,Green,Neutral,15,Water 1,Grass,Lv. 14
271,Lombre,,,,,,20,20,,,,,,,56,,,,,,,,,,,37,,,,,60,50,50,60,70,50,340,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3′11″,1.2,71.7,32.5,,,,,2,,119,120,Med Slow,50,Green,Neutral,15,Water 1,Grass,Water Stone
272,Ludicolo,,,,,,21,21,,,,,,,57,,,,,,,,,,,38,,,,,80,70,70,90,100,70,480,Water,Grass,Swift Swim,Rain Dish,Own Tempo,4′11″,1.5,121.3,55,,,,,3,,240,45,Med Slow,50,Green,Neutral,15,Water 1,Grass,
273,Seedot,,,,,,22,22,,,,,,,,,,,,,,,,,,39,,,,,40,40,50,30,30,30,220,Grass,,Chlorophyll,Early Bird,Pickpocket,1′08″,0.5,8.8,4,,,1,,,,44,255,Med Slow,50,Brown,Neutral,15,Field,Grass,Lv. 14
274,Nuzleaf,,,,,,23,23,,,,,,,,,,,,,,,,,,40,,,,,70,70,40,60,40,60,340,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3′03″,1,61.7,28,,2,,,,,119,120,Med Slow,50,Brown,Neutral,15,Field,Grass,Leaf Stone
275,Shiftry,,,,,,24,24,,,,,,,,,,,,,,,,,,41,,,,,90,100,60,90,60,80,480,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,4′03″,1.3,131.4,59.6,,3,,,,,240,45,Med Slow,50,Brown,Neutral,15,Field,Grass,
276,Taillow,,,,,,25,25,,,,,,19,,,,,,,,,,,,,,,,,40,55,30,30,30,85,270,Normal,Flying,Guts,,Scrappy,1′00″,0.3,5.1,2.3,,,,,,1,54,200,Med Slow,50,Blue,Neutral,15,Flying,,Lv. 22
277,Swellow,,,,,,26,26,,,,,,20,,,,,,,,,,,,,,,,,60,85,60,75,50,125,455,Normal,Flying,Guts,,Scrappy,2′04″,0.7,43.7,19.8,,,,,,2,159,45,Med Slow,50,Blue,Neutral,15,Flying,,
278,Wingull,,,,,,27,27,119,119,,212,,17,,40,40,19,21,11,47,47,19,21,18,62,48,,,132,40,30,30,55,30,85,270,Water,Flying,Keen Eye,Hydration,Rain Dish,2′00″,0.6,20.9,9.5,,,,,,1,54,190,Med Fast,50,White,Neutral,20,Water 1,Flying,Lv. 25
279,Pelipper,,,,,,28,28,120,120,,213,,18,,41,41,20,22,12,48,48,20,22,19,63,49,,,133,60,50,100,95,70,65,440,Water,Flying,Keen Eye,Drizzle,Rain Dish,3′11″,1.2,61.7,28,,,2,,,,154,45,Med Fast,50,Yellow,Neutral,20,Water 1,Flying,
280,Ralts,,,,,,29,29,,157,,,64,,,,,,,,,,,,,120,34,,101,62,28,25,25,45,35,40,198,Psychic,Fairy,Synchronize,Trace,Telepathy,1′04″,0.4,14.6,6.6,,,,1,,,40,235,Slow,35,White,Neutral,20,Human-Like,Amorphous,Lv. 20
281,Kirlia,,,,,,30,30,,158,,,65,,,,,,,,,,,,,121,35,,102,63,38,35,35,65,55,50,278,Psychic,Fairy,Synchronize,Trace,Telepathy,2′07″,0.8,44.5,20.2,,,,2,,,97,120,Slow,35,White,Neutral,20,Human-Like,Amorphous,Lv. 30/Dawn Stone (Male)
282,Gardevoir,,,,,,31,31,,159,,,66,,,,,,,,,,,,,122,36,,103,64,68,65,65,125,115,80,518,Psychic,Fairy,Synchronize,Trace,Telepathy,5′03″,1.6,106.7,48.4,,,,3,,,259,45,Slow,35,White,Neutral,20,Human-Like,Amorphous,
282.1,Gardevoir (Mega),Mega Evolution,,,,,,31,,,,,66,,,,,,,,,,,,,,,,,,68,85,65,165,135,100,618,Psychic,Fairy,Pixilate,,,5′03″,1.6,106.7,48.4,,,,3,,,309,45,Slow,35,White,Neutral,20,Human-Like,Amorphous,
283,Surskit,,,,,,32,33,,,,,47,,,139,,66,60,,172,,73,66,,,,,,49,40,30,32,50,52,65,269,Bug,Water,Swift Swim,,Rain Dish,1′08″,0.5,3.7,1.7,,,,,,1,54,200,Med Fast,50,Blue,Neutral,15,Water 1,Bug,Lv. 22
284,Masquerain,,,,,,33,34,,,,,48,,,140,,67,61,,173,,74,67,,,,,,50,70,60,62,100,82,80,454,Bug,Flying,Intimidate,,Unnerve,2′07″,0.8,7.9,3.6,,,,1,1,,159,75,Med Fast,50,Blue,Neutral,15,Water 1,Bug,
285,Shroomish,,,,,,34,35,,,,,,,,,,,,,,,,,,,,,,106,60,40,60,40,60,35,295,Grass,,Effect Spore,Poison Heal,Quick Feet,1′04″,0.4,9.9,4.5,1,,,,,,59,255,Fluctuating,50,Brown,Neutral,15,Fairy,Grass,Lv. 23
286,Breloom,,,,,,35,36,,,,,,,,,,,,,,,,,,,,,,107,60,130,80,60,60,70,460,Grass,Fighting,Effect Spore,Poison Heal,Technician,3′11″,1.2,86.4,39.2,,2,,,,,161,90,Fluctuating,50,Green,Neutral,15,Fairy,Grass,
287,Slakoth,,,,,,36,37,,,,276,,,,,,,,,,,,,,,,,,78,60,60,60,35,35,30,280,Normal,,Truant,,,2′07″,0.8,52.9,24,1,,,,,,56,255,Slow,50,Brown,Neutral,15,Field,,Lv. 18
288,Vigoroth,,,,,,37,38,,,,277,,,,,,,,,,,,,,,,,,79,80,80,80,55,55,90,440,Normal,,Vital Spirit,,,4′07″,1.4,102.5,46.5,,,,,,2,154,120,Slow,50,White,Neutral,15,Field,,Lv. 36
289,Slaking,,,,,,38,39,,,,278,,,,,,,,,,,,,,,,,,80,150,160,100,95,65,100,670,Normal,,Truant,,,6′07″,2,287.7,130.5,3,,,,,,285,45,Slow,50,Brown,Neutral,15,Field,,
290,Nincada,,,,,,42,43,,,,,111,,,,,,,,,,,,,104,,,,,31,45,90,30,30,40,266,Bug,Ground,Compoundeyes,,Run Away,1′08″,0.5,12.1,5.5,,,1,,,,53,255,Erratic,50,Gray,Neutral,15,Bug,,Lv. 20/Lv. 20 (Empty Party Slot)
291,Ninjask,,,,,,43,44,,,,,112,,,,,,,,,,,,,105,,,,,61,90,45,50,50,160,456,Bug,Flying,Speed Boost,,Infiltrator,2′07″,0.8,26.5,12,,,,,,2,160,120,Erratic,50,Yellow,Neutral,15,Bug,,
292,Shedinja,,,,,,44,45,,,,,113,,,,,,,,,,,,,106,,,,,1,90,45,30,30,40,236,Bug,Ghost,Wonder Guard,,,2′07″,0.8,2.6,1.2,2,,,,,,83,45,Erratic,50,Brown,None,15,Mineral,,
293,Whismur,,,,,,45,46,,,,,140,,,,,,,,,,,,,,148,,,,64,51,23,51,23,28,240,Normal,,Soundproof,,Rattled,2′00″,0.6,35.9,16.3,1,,,,,,48,190,Med Slow,50,Pink,Neutral,20,Monster,Field,Lv. 20
294,Loudred,,,,,,46,47,,,,,141,,,,,,,,,,,,,,149,,,,84,71,43,71,43,48,360,Normal,,Soundproof,,Scrappy,3′03″,1,89.3,40.5,2,,,,,,126,120,Med Slow,50,Blue,Neutral,20,Monster,Field,Lv. 40
295,Exploud,,,,,,47,48,,,,,142,,,,,,,,,,,,,,150,,,,104,91,63,91,73,68,490,Normal,,Soundproof,,Scrappy,4′11″,1.5,185.2,84,3,,,,,,245,45,Med Slow,50,Blue,Neutral,20,Monster,Field,
296,Makuhita,,,,,,48,49,,,,,,95,,56,56,,,15,68,68,,,22,,,,,116,72,60,30,20,30,25,237,Fighting,,Thick Fat,Guts,Sheer Force,3′03″,1,190.5,86.4,1,,,,,,47,180,Fluctuating,50,Yellow,M (75%),20,Human-Like,,Lv. 24
297,Hariyama,,,,,,49,50,,,,,,96,,57,57,,,16,69,69,,,23,,,,,117,144,120,60,40,60,50,474,Fighting,,Thick Fat,Guts,Sheer Force,7′07″,2.3,559.5,253.8,2,,,,,,166,200,Fluctuating,50,Brown,M (75%),20,Human-Like,,
298,Azurill,Baby,,,,,54,55,124,124,,30,41,,,,,,,,,,,,,,139,,,46,50,20,40,20,40,20,190,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,0′08″,0.2,4.4,2,1,,,,,,38,150,Fast,50,Blue,M (75%),10,Undiscovered,,Friendship
299,Nosepass,,,,,,60,61,,155,,164,,93,,198,,125,,,254,,155,,,,,,190,,30,45,135,45,90,30,375,Rock,,Sturdy,Magnet Pull,Sand Force,3′03″,1,213.8,97,,,1,,,,75,255,Med Fast,50,Gray,Neutral,20,Mineral,,Thunder Stone
300,Skitty,,,,,,61,63,,,,78,78,,,,,,,,,,,,,,,,,,50,45,45,35,35,50,260,Normal,,Cute Charm,Normalize,Wonder Skin,2′00″,0.6,24.3,11,,,,,,1,52,255,Fast,50,Pink,F (75%),15,Field,Fairy,Moon Stone
301,Delcatty,,,,,,62,64,,,,79,79,,,,,,,,,,,,,,,,,,70,65,65,55,55,90,400,Normal,,Cute Charm,Normalize,Wonder Skin,3′07″,1.1,71.9,32.6,1,,,,,1,140,60,Fast,50,Purple,F (75%),15,Field,Fairy,
302,Sableye,,,,,,68,70,,,,,,123,,102,102,,,52,124,124,,,64,294,,174,,297,50,75,75,65,65,50,380,Dark,Ghost,Keen Eye,Stall,Prankster,1′08″,0.5,24.3,11,,1,1,,,,133,45,Med Slow,35,Purple,Neutral,25,Human-Like,,
302.1,Sableye (Mega),Mega Evolution,,,,,,70,,,,,,,,102,102,,,52,124,124,,,64,,,,,,50,85,125,85,115,20,480,Dark,Ghost,Magic Bounce,,,1′08″,0.5,354.9,161,,1,1,,,,168,45,Med Slow,35,Purple,Neutral,25,Human-Like,,
303,Mawile,,,,,,69,71,,,,,,63,,,,,,,125,125,,,,295,,175,,,50,85,85,55,55,50,380,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,2′00″,0.6,25.4,11.5,,1,1,,,,133,45,Fast,50,Black,Neutral,20,Field,Fairy,
303.1,Mawile (Mega),Mega Evolution,,,,,,71,,,,,,63,,,,,,,125,125,,,,,,,,,50,105,125,55,95,50,480,Steel,Fairy,Huge Power,,,3′03″,1,51.8,23.5,,1,1,,,,168,45,Fast,50,Black,Neutral,20,Field,Fairy,
